HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,17,15,35,0.0,0.0
7666,2015,12,17,15,40,0.0,0.0
7666,2015,12,17,15,45,0.0,0.0
7666,2015,12,17,15,50,0.0,0.0
7666,2015,12,17,15,55,0.0,0.0
7666,2015,12,17,16,0,0.0,0.0
7666,2015,12,17,16,5,0.0,0.0
7666,2015,12,17,16,10,0.0,0.0
7666,2015,12,17,16,15,0.0,0.0
7666,2015,12,17,16,20,0.0,0.0
7666,2015,12,17,16,25,0.0,0.0
7666,2015,12,17,16,30,0.0,0.0
7666,2015,12,17,16,35,0.0,0.0
7666,2015,12,17,16,40,0.0,0.0
7666,2015,12,17,16,45,0.0,0.0
7666,2015,12,17,16,50,0.0,0.0
7666,2015,12,17,16,55,0.0,0.0
7666,2015,12,17,17,0,0.0,0.0
7666,2015,12,17,17,5,0.0,0.0
7666,2015,12,17,17,10,0.0,0.0
7666,2015,12,17,17,15,0.0,0.0
7666,2015,12,17,17,20,0.0,0.0
7666,2015,12,17,17,25,0.0,0.0
7666,2015,12,17,17,30,0.0,0.0
7666,2015,12,17,17,35,0.0,0.0
7666,2015,12,17,17,40,0.0,0.0
7666,2015,12,17,17,45,0.0,0.0
7666,2015,12,17,17,50,0.0,0.0
7666,2015,12,17,17,55,0.0,0.0
7666,2015,12,17,18,0,0.0,0.0
7666,2015,12,17,18,5,0.0,0.0
7666,2015,12,17,18,10,0.0,0.0
7666,2015,12,17,18,15,0.0,0.0
7666,2015,12,17,18,20,0.0,0.0
7666,2015,12,17,18,25,0.0,0.0
7666,2015,12,17,18,30,0.0,0.0
7666,2015,12,17,18,35,0.0,0.0
7666,2015,12,17,18,40,0.0,0.0
7666,2015,12,17,18,45,0.0,0.0
7666,2015,12,17,18,50,0.0,0.0
7666,2015,12,17,18,55,0.0,0.0
7666,2015,12,17,19,0,0.0,0.0
7666,2015,12,17,19,5,0.0,0.0
7666,2015,12,17,19,10,0.0,0.0
7666,2015,12,17,19,15,0.0,0.0
7666,2015,12,17,19,20,0.0,0.0
7666,2015,12,17,19,25,0.0,0.0
7666,2015,12,17,19,30,0.0,0.0
7666,2015,12,17,19,35,0.0,0.0
7666,2015,12,17,19,40,0.0,0.0
7666,2015,12,17,19,45,0.0,0.0
7666,2015,12,17,19,50,0.0,0.0
7666,2015,12,17,19,55,0.0,0.0
7666,2015,12,17,20,0,0.0,0.0
7666,2015,12,17,20,5,0.0,0.0
7666,2015,12,17,20,10,0.0,0.0
7666,2015,12,17,20,15,0.0,0.0
7666,2015,12,17,20,20,0.0,0.0
